Bathrooms,Offers,Brick,Neighborhood,Bedrooms,SqFt,Price
2,2,No,East,2,1790,114300
2,3,No,East,4,2030,114200
2,1,No,East,3,1740,114800
2,3,No,East,3,1980,94700
3,3,No,East,3,2130,119800
2,2,No,North,3,1780,114600
3,3,Yes,West,3,1830,151600
2,2,No,West,4,2160,150700
2,3,No,East,4,2110,119200
3,3,No,East,3,1730,104000
2,3,Yes,East,3,2030,132500
2,2,Yes,East,2,1870,123000
2,4,No,North,3,1910,102600
3,5,Yes,North,3,2150,126300
3,4,No,West,4,2590,176800
2,1,No,West,4,1780,145800
3,4,Yes,East,3,2190,147100
3,4,No,North,3,1990,83600
2,1,Yes,East,2,1700,111400
3,2,Yes,West,3,1920,167200
2,3,No,East,3,1790,116200
2,4,No,North,3,2000,113800
2,3,No,North,3,1690,91700
2,3,Yes,North,3,1820,106100
3,2,Yes,East,4,2210,156400
3,3,No,North,4,2290,149300
2,3,No,West,4,2000,137000
2,2,No,East,3,1700,99300
2,3,No,North,2,1600,69100
3,1,Yes,West,4,2040,188000
3,3,Yes,West,4,2250,182000
2,2,Yes,North,2,1930,112300
3,3,Yes,East,3,2250,135000
3,4,Yes,East,5,2280,139600
2,3,No,North,2,2000,117800
3,3,No,North,3,2080,117100
2,2,No,North,2,1880,117500
3,4,No,West,4,2420,147000
2,1,No,West,3,1720,131300
2,2,No,North,3,1740,108200
2,1,No,East,2,1560,106600
3,2,No,West,4,1840,133600
2,3,No,East,2,1990,105600
2,1,Yes,East,3,1920,154000
3,2,Yes,West,3,1940,166500
2,3,No,East,3,1810,103200
3,2,No,North,2,1990,129800
2,6,No,North,3,2050,90300
2,2,No,East,2,1980,115900
2,3,Yes,North,3,1700,107500
2,3,Yes,East,3,2100,151100
2,3,No,North,2,1860,91100
3,4,No,North,2,2150,117400
2,3,No,North,3,2100,130800
2,3,No,North,3,1650,81300
2,2,Yes,East,2,1720,125700
2,3,Yes,East,3,2190,140900
3,3,No,West,4,2240,152300
3,1,No,West,3,1840,138100
2,1,No,West,4,2090,155400
3,1,No,West,3,2200,180900
2,2,No,North,2,1610,100900
3,2,No,West,4,2220,161300
3,2,No,East,2,1910,120500
2,2,No,West,3,1860,130300
2,1,Yes,North,2,1450,111100
3,4,No,North,3,2210,126200
3,3,No,East,4,2040,151900
2,4,No,North,3,2140,93600
3,3,No,West,4,2080,165600
3,3,Yes,West,3,1950,166700
2,1,No,West,4,2160,157600
2,3,No,North,3,1650,107300
3,2,No,East,3,2040,125700
3,3,No,West,3,2140,144200
2,2,No,North,2,1900,106900
2,2,No,West,3,1930,129800
3,3,Yes,West,4,2280,176500
2,3,No,North,3,2130,121300
2,1,No,West,4,1780,143600
3,4,Yes,East,3,2190,143400
3,2,Yes,West,4,2140,184300
2,1,Yes,West,2,2050,164800
3,2,No,East,3,2410,147700
2,3,No,North,2,1520,90500
3,2,Yes,West,4,2250,188300
2,4,No,North,4,1900,102700
3,1,Yes,West,3,1880,172500
3,2,No,North,3,1930,127700
2,4,No,North,2,2010,97800
2,2,No,West,4,1920,143100
2,2,No,East,3,2150,116500
2,2,No,West,3,2110,142600
3,2,No,East,3,2080,157100
3,3,Yes,West,4,2150,160600
2,1,Yes,West,2,1970,152500
3,3,No,East,3,2440,133300
2,1,Yes,East,2,2000,126800
2,1,No,West,3,2060,145500
3,2,Yes,West,3,2080,171000
2,5,No,North,3,2010,103200
3,5,No,East,3,2260,123100
3,4,No,East,3,2410,136800
3,3,Yes,West,4,2440,211200
2,4,No,East,3,1910,82300
3,4,No,West,4,2530,146900
2,4,No,North,3,2130,108500
2,1,Yes,East,3,1890,134000
3,3,Yes,East,3,1990,117000
2,3,No,East,3,2110,108700
2,1,No,North,2,1710,111600
2,2,No,North,2,1740,114900
2,2,Yes,East,2,1940,123600
2,3,Yes,North,3,2000,115700
3,2,No,East,4,2010,124500
3,3,No,North,3,1900,102500
4,1,Yes,West,5,2290,199500
2,2,No,North,3,1920,117800
2,3,Yes,North,3,1950,150200
2,4,No,North,2,1920,109700
3,3,No,North,2,1930,110400
3,3,No,East,3,1930,105600
2,1,Yes,East,2,2060,144800
3,3,Yes,East,3,1900,119700
3,3,Yes,East,4,2160,147900
2,2,No,North,2,2070,113500
3,1,No,West,3,2020,149900
3,4,No,North,3,2250,124600
